epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,18281.4,0.34693,0.27592,0.92007,0.99331,1,0.995,0.96586,0.27729,0.22249,0.81322,0.000358938,0.000358938,0.000358938
45,18663.4,0.35639,0.28557,0.93014,0.99106,1,0.995,0.97202,0.31195,0.22956,0.84077,0.00035275,0.00035275,0.00035275
46,19048.8,0.34064,0.27956,0.924,0.99406,1,0.995,0.97035,0.27992,0.23045,0.82233,0.000346563,0.000346563,0.000346563
47,19434.2,0.34185,0.27103,0.92224,0.99354,1,0.995,0.97305,0.29678,0.22753,0.82748,0.000340375,0.000340375,0.000340375
48,19815.8,0.3477,0.26748,0.92385,0.99298,1,0.995,0.97718,0.27848,0.22119,0.82182,0.000334188,0.000334188,0.000334188
49,20196.8,0.34127,0.26239,0.92363,0.99382,1,0.995,0.97754,0.28572,0.22466,0.81913,0.000328,0.000328,0.000328
50,20576.9,0.34121,0.26554,0.92315,0.99313,1,0.995,0.97503,0.28086,0.20589,0.8127,0.000321812,0.000321812,0.000321812
51,20978.1,0.34173,0.26354,0.91782,0.99376,1,0.995,0.97148,0.27194,0.22601,0.81983,0.000315625,0.000315625,0.000315625
52,21376.8,0.34382,0.27228,0.92023,0.99448,1,0.995,0.97202,0.29088,0.21786,0.82618,0.000309437,0.000309437,0.000309437
53,21769.6,0.332,0.26421,0.92641,0.994,1,0.995,0.97181,0.27806,0.21376,0.82065,0.00030325,0.00030325,0.00030325
54,22162.2,0.33921,0.26137,0.92132,0.99373,1,0.995,0.96977,0.28453,0.22089,0.82276,0.000297063,0.000297063,0.000297063
55,22546.9,0.32972,0.24955,0.91431,0.99395,1,0.995,0.97337,0.28838,0.20994,0.82848,0.000290875,0.000290875,0.000290875
56,22929.9,0.32778,0.24968,0.90737,0.99292,1,0.995,0.97151,0.26924,0.20457,0.81261,0.000284688,0.000284688,0.000284688
57,23311.8,0.33184,0.24814,0.91677,0.99264,1,0.995,0.97348,0.26965,0.19851,0.81324,0.0002785,0.0002785,0.0002785
58,23693,0.32655,0.2552,0.91773,0.99331,1,0.995,0.96868,0.27346,0.20597,0.81108,0.000272313,0.000272313,0.000272313
59,24074.9,0.31821,0.24463,0.90802,0.99443,1,0.995,0.97345,0.2571,0.19016,0.80814,0.000266125,0.000266125,0.000266125
60,24466.3,0.33274,0.24917,0.91545,0.99342,1,0.995,0.97463,0.27628,0.20216,0.81966,0.000259938,0.000259938,0.000259938
61,24853.7,0.31768,0.23854,0.90733,0.99397,1,0.995,0.97783,0.26521,0.19462,0.81447,0.00025375,0.00025375,0.00025375
62,25236.7,0.32969,0.24984,0.91835,0.9953,1,0.995,0.9714,0.27035,0.18049,0.81876,0.000247563,0.000247563,0.000247563
63,25619,0.31388,0.23521,0.90968,0.99489,1,0.995,0.97548,0.27661,0.17977,0.82506,0.000241375,0.000241375,0.000241375
64,26001.3,0.3122,0.23271,0.90807,0.99469,1,0.995,0.97899,0.26385,0.18775,0.81124,0.000235188,0.000235188,0.000235188
